,ft_cat_country_name,ft_cat_industry_name,ft_cat_sector_name,ft_fin_cash,ft_fin_employees,ft_fin_equity,ft_fin_inventories,ft_fin_market_cap,ft_fin_net_income,ft_fin_ppe,ft_fin_rd,ft_fin_revenue,ft_fin_roa,ft_fin_roe,ft_fin_stock_return,ft_fin_total_assets,ft_fin_total_liab,isin,scope_1,scope_2,scope_3,year
13,United Arab Emirates,Banks,Financials,,,27665.889239817,,41831.6987795341,3135.16710163128,1086.59185567617,,8087.99132688868,0.017080863522,12.6744795616714,0.464358772560898,202585.021476028,,AEN000101016,963.5,53676.44,6369.3,2018
14,United Arab Emirates,Banks,Financials,,,29298.2362230451,,45069.5399614652,3252.91526954138,1257.49992648411,,9088.08570827243,0.016084027971,12.7307587931362,0.131128866588657,223777.408815439,,AEN000101016,7398.84,38835.11,6891.66,2019
15,United States,Oil & Gas Equipment & Services,Energy,,87000.0,,1918.503,50633.7923074365,5396.951,9690.34,823.791,27162.933,,34.0091202865992,,31990.725,,AN8068571086,1120000.0,,,2008
16,United States,Oil & Gas Equipment & Services,Energy,,77000.0,,1866.0,78157.7268416844,3156.0,9660.0,787.0,22702.0,,17.5419244908527,,33465.0,,AN8068571086,1218000.0,,,2009
17,United States,Oil & Gas Equipment & Services,Energy,,108000.0,,3804.0,113925.730407715,4267.0,12071.0,905.0,27447.0,,16.9507011480555,,51767.0,,AN8068571086,1315000.0,390000.0,1467000.0,2010
18,United States,Oil & Gas Equipment & Services,Energy,,113000.0,,4700.0,91680.6221823096,4777.0,12993.0,1090.0,39540.0,,15.2890908799949,,55201.0,,AN8068571086,1610000.0,330000.0,1628500.0,2011
19,United States,Oil & Gas Equipment & Services,Energy,,,,4785.0,91998.7376751546,5230.0,14780.0,1140.0,41731.0,,15.8451237616263,,61547.0,,AN8068571086,1761333.0,341824.0,2580332.0,2012
20,United States,Oil & Gas Equipment & Services,Energy,,123000.0,,4603.0,118670.811893893,6801.0,15096.0,1166.0,45266.0,,18.3265966046888,,67100.0,,AN8068571086,2200000.0,550000.0,2112000.0,2013
21,United States,Oil & Gas Equipment & Services,Energy,,120000.0,,4628.0,109905.075581521,5643.0,15396.0,1217.0,48580.0,,14.5966709346991,,66904.0,,AN8068571086,1790000.0,430000.0,,2014
22,United States,Oil & Gas Equipment & Services,Energy,,95000.0,,3756.0,87962.0042724609,2072.0,13415.0,1094.0,35475.0,,5.63939958902059,,68005.0,,AN8068571086,2100000.0,747000.0,1191000.0,2015
