isin,year,scope_1,scope_2,scope_3
SE0007100581,2007,46000.0,143000.0,
CH0562931086,2007,15600.0,33000.0,
CH0012142631,2007,897633.0,,
CH0038388911,2007,16250.0,76600.0,1460.0
CH0012032048,2007,402021.0,462363.0,92984.0
CH0001752309,2007,314720.0,323000.0,8000.0
CH0012005267,2007,580360.0,873080.0,
,2007,24542.0,32494.0,
CH0012138530,2007,19100.0,256300.0,85600.0
CH0012549785,2007,1193.0,4.0,
CH0030170408,2007,19330.0,65992.0,
CH0010645932,2007,81258.0,,
GB00B0744359,2007,5513.0,84797.0,
GB00B1VNSX38,2007,22764000.0,,
GB00B02L3W35,2007,3199.0,7620.0,
GB00B1P6ZR11,2007,1657.0,2320.0,
GB0008220112,2007,635000.0,290000.0,
GB0007739609,2007,96365.0,21189.0,
GB00BN0SMB92,2007,229791.0,,
GB00B1FP6H53,2007,176062.0,85568.0,
GB0009895292,2007,299000.0,288000.0,
GB00BDR05C01,2007,4600000.0,200000.0,
GB00B082RF11,2007,92111.0,178966.0,815.0
GB0003452173,2007,1611797.0,251536.0,
GB0004544929,2007,52723.0,68466.0,
GB00B033F229,2007,7056810.0,41466.0,10012898.0
GB0007980591,2007,64400000.0,10100000.0,539000000.0
GB00B24CGK77,2007,132458.0,147245.0,
GB00B2B0DG97,2007,18549.0,113633.0,36660.0
GB00B10RZP78,2007,1581565.0,1711317.0,
GB0002875804,2007,365550.0,475230.0,
GB0007188757,2007,15500000.0,13100000.0,
GB0002374006,2007,528350.0,172650.0,
GB00B1KJJ408,2007,354607.0,,
GB0006776081,2007,58443.0,89307.0,
GB00BH0P3Z91,2007,21394070.0,30626090.0,
GB0001367019,2007,2887.6,21290.55,
GB0031274896,2007,67000.0,212000.0,
GB00BK7YQK64,2007,3839.0,32824.0,
GB00B019KW72,2007,789274.0,,
GB00B5ZN1N88,2007,41455.0,1562.0,
GB0002405495,2007,319.58,,
GB0009223206,2007,7031.0,43328.0,
GB0004082847,2007,1397.0,85138.0,
GB00BLGZ9862,2007,1726650.0,2346380.0,
GB00BF5H9P87,2007,1581.0,4858.0,0.0
GB0030913577,2007,242335.058,395931.331,58145.764
GB0009039941,2007,12458.0,65991.0,
GB0000904986,2007,8847.0,2089.0,
GB0006215205,2007,898990.0,,
GB0009252882,2007,1331300.0,1122500.0,4800800.0
,2007,3030000.0,,
GB0033195214,2007,115526.0,311649.0,
GB00B1XZS820,2007,20118000.0,15938000.0,
GB00B1Z4ST84,2007,2879.0,2759.0,
GB00BH4HKS39,2007,123041.0,1230797.0,
GB00B0HZPV38,2007,9700000.0,,
GB0033986497,2007,37330.0,,
GB0031743007,2007,3300.0,16000.0,2066.0
GB00BF8Q6K64,2007,4221.0,22305.0,9566.0
GB00B45C9X44,2007,14809.0,21556.0,
GB0007973794,2007,133952.289,82515.363,
GB00B012TP20,2007,22433.643,,7932.0
US3434121022,2007,12851.95,35820.71,56292.97
US6092071058,2007,1453917.0,1218406.0,
US9129091081,2007,43274333.0,5226123.0,
US20825C1045,2007,53423160.0,8866046.0,
US3453708600,2007,2300000.0,4400000.0,
US1912161007,2007,1962287.0,2905492.0,
US2091151041,2007,4936000.0,,
,2007,540965.0,939035.0,
US3696041033,2007,5276531.0,5558764.0,
US4601461035,2007,10776946.0,3989461.0,
US30161N1019,2007,11277781.0,376000.0,
US9621661043,2007,6600000.0,4500000.0,
US0028241000,2007,907000.0,933000.0,
US0091581068,2007,11000000.0,7000000.0,
US0079031078,2007,53460.0,287809.0,
US0258161092,2007,9082.05,211914.5,81738.45
US0255371017,2007,145400000.0,,
US0268747849,2007,62822.0,474804.0,
,2007,11655190.0,541000.0,
US0584981064,2007,340168.0,1168508.0,
US0718131099,2007,283000.0,456000.0,1512000.0
US0758871091,2007,69179.0,393102.0,
US1011371077,2007,27000.0,150000.0,
US1101221083,2007,486000.0,570000.0,
US1491231015,2007,757681.0,1585434.0,
US1890541097,2007,72000.0,322000.0,210000.0
US1667641005,2007,65400000.0,0.0,
US60871R2094,2007,630669.0,548013.0,
US2310211063,2007,338917.0,450784.0,
US2333311072,2007,38600000.0,3600000.0,
,2007,105300000.0,,
US29364G1031,2007,38900000.0,6100000.0,
US65339F1012,2007,49089725.0,51386.0,
US3703341046,2007,283000.0,782000.0,
US4062161017,2007,3150000.0,,
US4165151048,2007,34608.0,88549.0,
US40434L1052,2007,134500.0,1464000.0,
US4592001014,2007,533064.0,2291297.0,
US4781601046,2007,341000.0,937000.0,
US4943681035,2007,2910000.0,3310000.0,
US5324571083,2007,865915.0,1430309.0,
,2007,22092.0,504791.0,
,2007,326087.0,1130435.0,
US6174464486,2007,797.0,241945.0,
US6200763075,2007,40308.0,609448.0,
US6516391066,2007,3110000.0,1160000.0,
US6745991058,2007,10230000.0,5990000.0,
US69331C1080,2007,2975886.0,1168152.0,
US6935061076,2007,4697000.0,1993000.0,
US7170811035,2007,1214575.0,1226720.0,
US7234841010,2007,17675247.0,132465.0,
US7445731067,2007,24790000.0,2097000.0,
US7739031091,2007,9191.9,96808.1,
US58933Y1055,2007,800000.0,560000.0,80000.0
US8243481061,2007,300526.0,315370.0,
US8288061091,2007,18390.0,556586.0,
US8574771031,2007,4278.0,62661.0,
US8825081040,2007,884058.0,1215942.0,
US5658491064,2007,15100000.0,4490000.0,
,2007,6737.0,156486.0,
,2007,1661505.93,,
US92939U1060,2007,20371519.0,0.0,
US0311621009,2007,100986.0,273927.0,
US0382221051,2007,13724.0,108980.0,
US17275R1023,2007,25465.0,313285.0,
US5949181045,2007,14730.0,137870.0,
US6658591044,2007,6471.0,59727.0,
US7475251036,2007,35590.0,41522.0,
US6687711084,2007,0.0,41721.0,
US35671D8570,2007,3032247.0,98030.0,
US38141G1040,2007,15179.0,238185.0,
US65473P1057,2007,25593436.0,122250.0,
,2007,537388.0,6633715.0,
US0188021085,2007,20900000.0,,
US30231G1022,2007,145500000.0,13300000.0,
US58155Q1031,2007,31635.0,42802.519,
US69351T1060,2007,30300000.0,,
