,0,1,2
scope,scope_1,scope_2,scope_3
imputer,DummyImputer,DummyImputer,DummyImputer
fin_transformer,PowerTransformer,PowerTransformer,PowerTransformer
cat_transformer,TargetEncoder,TargetEncoder,TargetEncoder
scope_transformer,LogTargetScaler,LogTargetScaler,LogTargetScaler
preprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
feature_selector,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
scope_estimator,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
pipeline,DefaultPipeline,DefaultPipeline,DefaultPipeline
cfg.preprocessor.name,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor,NormalizedIIDPreprocessor
cfg.feature_selector.n_components_,18,18,18
cfg.feature_selector.name,SelectionFeatureReducer,SelectionFeatureReducer,SelectionFeatureReducer
cfg.scope_estimator.memory,,,
cfg.scope_estimator.steps,"[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=1.7196383829141577, epsilon=0.15893803096204837))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=0.5924282748162991, epsilon=0.08459203474921595))]","[('nystroem', Nystroem()), ('linearsvr', LinearSVR(C=0.8010369075134405, epsilon=0.18291130683942122))]"
cfg.scope_estimator.verbose,False,False,False
cfg.scope_estimator.nystroem,Nystroem(),Nystroem(),Nystroem()
cfg.scope_estimator.linearsvr,"LinearSVR(C=1.7196383829141577, epsilon=0.15893803096204837)","LinearSVR(C=0.5924282748162991, epsilon=0.08459203474921595)","LinearSVR(C=0.8010369075134405, epsilon=0.18291130683942122)"
cfg.scope_estimator.nystroem__coef0,,,
cfg.scope_estimator.nystroem__degree,,,
cfg.scope_estimator.nystroem__gamma,,,
cfg.scope_estimator.nystroem__kernel,rbf,rbf,rbf
cfg.scope_estimator.nystroem__kernel_params,,,
cfg.scope_estimator.nystroem__n_components,100,100,100
cfg.scope_estimator.nystroem__n_jobs,,,
cfg.scope_estimator.nystroem__random_state,,,
cfg.scope_estimator.linearsvr__C,1.7196383829141577,0.5924282748162991,0.8010369075134405
cfg.scope_estimator.linearsvr__dual,warn,warn,warn
cfg.scope_estimator.linearsvr__epsilon,0.15893803096204837,0.08459203474921595,0.18291130683942122
cfg.scope_estimator.linearsvr__fit_intercept,True,True,True
cfg.scope_estimator.linearsvr__intercept_scaling,1.0,1.0,1.0
cfg.scope_estimator.linearsvr__loss,epsilon_insensitive,epsilon_insensitive,epsilon_insensitive
cfg.scope_estimator.linearsvr__max_iter,1000,1000,1000
cfg.scope_estimator.linearsvr__random_state,,,
cfg.scope_estimator.linearsvr__tol,0.0001,0.0001,0.0001
cfg.scope_estimator.linearsvr__verbose,0,0,0
cfg.scope_estimator.name,FastSupportVectorEstimator,FastSupportVectorEstimator,FastSupportVectorEstimator
cfg.scope_estimator.epsilon,0.15893803096204837,0.08459203474921595,0.18291130683942122
cfg.scope_estimator.C,1.7196383829141577,0.5924282748162991,0.8010369075134405
cfg.name,DefaultPipeline,DefaultPipeline,DefaultPipeline
cfg.epsilon,0.15893803096204837,0.08459203474921595,0.18291130683942122
cfg.C,1.7196383829141577,0.5924282748162991,0.8010369075134405
